repo,login,country,city,lat,lon,contributions
apache/doris,yiguolei,China,Beijing,39.9042,116.4074,423
apache/doris,zddr,China,Beijing,39.9042,116.4074,404
apache/seatunnel,Hisoka-X,China,Beijing,39.9042,116.4074,581
apache/seatunnel,garyelephant,China,Beijing,39.9042,116.4074,533
apache/seatunnel,RickyHuo,China,Beijing,39.9042,116.4074,469
apache/seatunnel,hailin0,China,Beijing,39.9042,116.4074,265
apache/seatunnel,EricJoy2048,Canada,Toronto,43.6532,-79.3832,202
apache/seatunnel,TyrantLucifer,China,Beijing,39.9042,116.4074,184
apache/seatunnel,ashulin,China,Beijing,39.9042,116.4074,139
apache/seatunnel,zhangshenghang,China,Beijing,39.9042,116.4074,128
apache/seatunnel,liunaijie,China,Beijing,39.9042,116.4074,110
apache/seatunnel,TaoZex,China,Beijing,39.9042,116.4074,68
duckdb/duckdb,Mytherin,Netherlands,Amsterdam,52.3676,4.9041,24479
duckdb/duckdb,pdet,Netherlands,Amsterdam,52.3676,4.9041,4907
duckdb/duckdb,hannes,Netherlands,Amsterdam,52.3676,4.9041,3523
duckdb/duckdb,samansmink,Netherlands,Amsterdam,52.3676,4.9041,2177
duckdb/duckdb,carlopi,Netherlands,Amsterdam,52.3676,4.9041,1991
duckdb/duckdb,Tmonster,Netherlands,Amsterdam,52.3676,4.9041,1897
duckdb/duckdb,Dtenwolde,Netherlands,Amsterdam,52.3676,4.9041,1281
duckdb/duckdb,Mause,Australia,Sydney,-33.8688,151.2093,826
duckdb/duckdb,ZuleykhaPavlichenkova-TomTom,Netherlands,Amsterdam,52.3676,4.9041,788
duckdb/duckdb,lnkuiper,Netherlands,Amsterdam,52.3676,4.9041,508
duckdb/duckdb,kryonix,Germany,Berlin,52.52,13.405,504
elastic/elasticsearch,s1monw,Germany,Berlin,52.52,13.405,3182
elastic/elasticsearch,DaveCTurner,United Kingdom,London,51.5072,-0.1276,2910
elastic/elasticsearch,javanna,Netherlands,Amsterdam,52.3676,4.9041,2532
elastic/elasticsearch,tlrx,France,Paris,48.8566,2.3522,1443
elastic/elasticsearch,dadoonet,France,Paris,48.8566,2.3522,1437
elastic/elasticsearch,jpountz,France,Paris,48.8566,2.3522,1411
kubernetes/kubernetes,liggitt,United States,San Francisco,37.7749,-122.4194,2160
kubernetes/kubernetes,thockin,United States,San Francisco,37.7749,-122.4194,2074
kubernetes/kubernetes,pohly,Germany,Berlin,52.52,13.405,1469
kubernetes/kubernetes,sttts,Germany,Berlin,52.52,13.405,1188
kubernetes/kubernetes,gmarek,United Kingdom,London,51.5072,-0.1276,829
kubernetes/kubernetes,dchen1107,United States,San Francisco,37.7749,-122.4194,774
kubernetes/kubernetes,zmerlynn,United States,San Francisco,37.7749,-122.4194,691
kubernetes/kubernetes,justinsb,United States,San Francisco,37.7749,-122.4194,636
helm/helm,mattfarina,United States,San Francisco,37.7749,-122.4194,845
helm/helm,gjenkins8,United States,San Francisco,37.7749,-122.4194,249
helm/helm,benoittgt,France,Paris,48.8566,2.3522,103
helm/helm,jackgr,United States,San Francisco,37.7749,-122.4194,92
helm/helm,fibonacci1729,United States,San Francisco,37.7749,-122.4194,46
docker/compose,ndeloof,France,Paris,48.8566,2.3522,1486
docker/compose,glours,France,Paris,48.8566,2.3522,723
docker/compose,rumpl,France,Paris,48.8566,2.3522,302
docker/compose,ulyssessouza,Germany,Berlin,52.52,13.405,227
docker/compose,thaJeztah,Netherlands,Amsterdam,52.3676,4.9041,190
docker/compose,laurazard,Germany,Berlin,52.52,13.405,128
docker/compose,nicksieger,United States,San Francisco,37.7749,-122.4194,27
docker/compose,KoditkarVedant,India,Bangalore,12.9716,77.5946,18
docker/compose,crazy-max,France,Paris,48.8566,2.3522,18
hashicorp/terraform,radeksimko,United Kingdom,London,51.5072,-0.1276,1265
